買	企業名	最大何倍株	現在何倍株	コード	ビジネスモデル	参入障壁あるか	参入障壁の詳細	社長株%	想定時価総額（億円）	時価総額_上場1年以内（億円）	ノーバガー指標	5,7,10,N倍まで何年	Sector	Industry	上場廃止	PER	IPO情報URL	IR	有価証券報告書	会社URL	事業内容	備考	テンバガー指標	決算	決算伸び率%	会社設立	管理人からのコメント	上場日	市場	株主名と比率	企業業績のデータ（5年分）														
	ノバレーゼ			9160					142.5	68.8			消費者循環	個人サービス			https://www.ipokiso.com/company/2023/novarese.html	https://irbank.net/9160/ir		https://www.novarese.co.jp/	結婚式場の運営、レストラン運営					2016年8月（7年目）	ノバレーゼ（9160）、都市型・郊外型のゲストハウス運営、婚礼衣装のレンタル・販売、レストラン運営などをおこなっています。直近の業績推移を見ると、新型コロナウイルスの影響で業績が一時的に落ち込んでいますが、基本的に横ばいで推移しています。	6月30日(金)	東証スタンダード	[{"株主名": "ポラリス第三号投資事業有限責任組合", "比率": 70.04, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "Tiara CG    Private Equity Fund 2013,L.P.", "比率": 23.11, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "荻野 洋基（社長）", "比率": 2.48, "ロックアップ": "90日間", "isCEO": true}, {"株主名": "増山 晃年", "比率": 1.49, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "中原 准志", "比率": 0.99, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "小林 雄也", "比率": 0.8, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "鈴木 一生", "比率": 0.5, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "西多 由智", "比率": 0.2, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "倉橋 実", "比率": 0.2, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "横田 哲郎", "比率": 0.1, "ロックアップ": "90日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年12月": 17405.0, "2020年12月": 7334.0, "2021年12月": 11192.0, "2022年12月": 17222.0}}, {"税引前利益（百万円）": {"2019年12月": 1734.0, "2020年12月": -4326.0, "2021年12月": 539.0, "2022年12月": 2485.0}}, {"当期純利益（百万円）": {"2019年12月": 1313.0, "2020年12月": -2948.0, "2021年12月": 374.0, "2022年12月": 1657.0}}, {"純資産額 （百万円）": {"2019年12月": 7885.0, "2020年12月": 5218.0, "2021年12月": 5587.0, "2022年12月": 7234.0}}, {"1株あたりの純資産額（円）": {"2019年12月": 65705.0, "2020年12月": 41747.0, "2021年12月": 44696.0, "2022年12月": 57874.0}}, {"1株あたりの純利益（円）": {"2019年12月": 10944.0, "2020年12月": -24139.0, "2021年12月": 2992.0, "2022年12月": 13255.0}}, {"自己資本比率（％）": {"2019年12月": 23.5, "2020年12月": 15.7, "2021年12月": 17.1, "2022年12月": 22.6}}, {"自己資本利益率（％）": {"2019年12月": 18.2, "2020年12月": null, "2021年12月": 6.9, "2022年12月": 25.9}}]														
	ジーデップ・アドバンス			5885				28.78	55	89.8			技術	コンピュータハードウェア			https://www.ipokiso.com/company/2023/gdep.html	https://irbank.net/5885/ir		https://info.gdep.co.jp/	AI 学習など高度な処理を可能とするハードウェアなどの販売事業					2016年1月（8年目）	ジーデップ・アドバンス（5885）、AIや直接見ることのできない事柄や現象、関係性のイメージ、ビッグデータを取り扱う研究者のシステム環境上の課題に対して、独自の解決策を提供しています。なお、「AI」や「ビッグデータ」は、IPOとして人気化しやすいテーマです。	6月30日(金)	東証スタンダード	[{"株主名": "（株）IAM", "比率": 59.54, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "飯野 匡道（社長）", "比率": 28.78, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "飯野 亜矢子", "比率": 5.94, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "大橋 達夫", "比率": 1.89, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "小島 広", "比率": 0.94, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "堀籠 学", "比率": 0.58, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "高橋 千晶", "比率": 0.39, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "大宮 和子", "比率": 0.38, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "永井 基一郎", "比率": 0.28, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "藤波 雅人", "比率": 0.27, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2019年5月": 1653.0, "2020年5月": 685.0, "2021年5月": 3442.0, "2022年5月": 3491.0}}, {"経常利益（百万円）": {"2019年5月": 40.0, "2020年5月": 50.0, "2021年5月": 381.0, "2022年5月": 448.0}}, {"当期純利益（百万円）": {"2019年5月": 25.0, "2020年5月": 34.0, "2021年5月": 233.0, "2022年5月": 283.0}}, {"純資産額 （百万円）": {"2019年5月": 67.0, "2020年5月": 726.0, "2021年5月": 964.0, "2022年5月": 1201.0}}, {"1株あたりの純資産額（円）": {"2019年5月": 22200.0, "2020年5月": 121053.0, "2021年5月": 804.0, "2022年5月": 1001.0}}, {"1株あたりの純利益（円）": {"2019年5月": 8330.0, "2020年5月": 9770.0, "2021年5月": 194.0, "2022年5月": 236.0}}, {"自己資本比率（％）": {"2019年5月": 12.7, "2020年5月": 63.7, "2021年5月": 54.8, "2022年5月": 56.0}}, {"自己資本利益率（％）": {"2019年5月": 46.2, "2020年5月": 8.6, "2021年5月": 27.6, "2022年5月": 26.2}}]														
	W TOKYO			9159				28.1	74.3	55.6			通信サービス	広告代理店			https://www.ipokiso.com/company/2023/w-tokyo.html	https://irbank.net/9159/ir		https://w-tokyo.co.jp/	TOKYO GIRLS COLLECTIONのブランドを活用したブランディング・コンテンツプロデュース事業					2015年7月（8年目）	W TOKYO[ダブルトウキョウ]（9159）、TOKYO GIRLS COLLECTIONのブランドを活かした独自のプロデュースノウハウを提供しています。業績推移を見ると、新型コロナウイルスの影響で直近は売上が落ちていますが、2023年6月期は、第3四半期時点で売上3,221百万円、経常利益725百万円を達成しており、再び成長路線に戻っています。	6月29日(木)	東証グロース	[{"株主名": "村上    範義（社長）", "比率": 28.1, "ロックアップ": "90日間", "isCEO": true}, {"株主名": "（株）ディー・エル・イー", "比率": 15.2, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "帝都インベストメンツ投資事業有限責任組合", "比率": 8.91, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "（株）マイナビ", "比率": 6.5, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "（株）ベクトル", "比率": 5.3, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "（株）電通グループ", "比率": 5.3, "ロックアップ": "", "isCEO": false}, {"株主名": "（株）トランザクション", "比率": 5.3, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "カルチュア・エンタテインメント（株）", "比率": 5.3, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "片山 晃", "比率": 4.88, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "（株）ジェイ・ストーム", "比率": 2.88, "ロックアップ": "90日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年6月": 3489.0, "2020年6月": 3053.0, "2021年6月": 1987.0, "2022年6月": 2065.0}}, {"経常利益（百万円）": {"2019年6月": 153.0, "2020年6月": -86.0, "2021年6月": -202.0, "2022年6月": 88.0}}, {"当期純利益（百万円）": {"2019年6月": 101.0, "2020年6月": -162.0, "2021年6月": -219.0, "2022年6月": 129.0}}, {"純資産額 （百万円）": {"2019年6月": 498.0, "2020年6月": 347.0, "2021年6月": 380.0, "2022年6月": 521.0}}, {"1株あたりの純資産額（円）": {"2019年6月": 4590.0, "2020年6月": 3130.0, "2021年6月": 161.0, "2022年6月": 216.0}}, {"1株あたりの純利益（円）": {"2019年6月": 930.0, "2020年6月": -1479.0, "2021年6月": -97.0, "2022年6月": 54.0}}, {"自己資本比率（％）": {"2019年6月": 19.8, "2020年6月": 14.6, "2021年6月": 14.2, "2022年6月": 20.9}}, {"自己資本利益率（％）": {"2019年6月": 22.6, "2020年6月": null, "2021年6月": null, "2022年6月": 28.6}}]														
	ノイルイミューン・バイオテック			4893					311.1	53.7			ヘルスケア	バイオテクノロジー			https://www.ipokiso.com/company/2023/noile-immune.html	https://irbank.net/4893/ir		https://www.noile-immune.com/	CAR-T細胞療法を主とした新規がん免疫療法の開発					2015年4月（9年目）	ノイルイミューン・バイオテック（4893）、自社や大学・研究機関との共同開発、国内外の企業との共同研究開発を通じて、がん免疫療法に関連する技術およびパイプラインの開発・ライセンス販売をしています。	6月28日(水)	東証グロース	[{"株主名": "（株）鶴亀", "比率": 23.27, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "武田薬品工業（株）", "比率": 19.14, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "玉田 耕治（社長）", "比率": 9.88, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "石﨑 秀信", "比率": 5.73, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "Binex Co.,    Ltd.", "比率": 5.37, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "和田 聡", "比率": 4.71, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "瀬戸 恭子", "比率": 4.71, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "佐古田 幸美", "比率": 3.21, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "大和日台バイオベンチャー投資事業有限責任組合", "比率": 3.18, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）アプリコット", "比率": 2.84, "ロックアップ": "180日間", "isCEO": false}]	[{"事業収益（百万円）": {"2019年12月": 521.0, "2020年12月": 97.0, "2021年12月": 101.0, "2022年12月": 626.0}}, {"経常利益（百万円）": {"2019年12月": 57.0, "2020年12月": -605.0, "2021年12月": -793.0, "2022年12月": -384.0}}, {"当期純利益（百万円）": {"2019年12月": 55.0, "2020年12月": -637.0, "2021年12月": -795.0, "2022年12月": -387.0}}, {"純資産額 （百万円）": {"2019年12月": 2235.0, "2020年12月": 2598.0, "2021年12月": 4185.0, "2022年12月": 4301.0}}, {"1株あたりの純資産額（円）": {"2019年12月": 323.0, "2020年12月": 361.0, "2021年12月": 107.0, "2022年12月": 108.0}}, {"1株あたりの純利益（円）": {"2019年12月": 8.0, "2020年12月": -90.0, "2021年12月": -21.0, "2022年12月": -10.0}}, {"自己資本比率（％）": {"2019年12月": 95.3, "2020年12月": 97.0, "2021年12月": 97.9, "2022年12月": 92.5}}, {"自己資本利益率（％）": {"2019年12月": 2.5, "2020年12月": null, "2021年12月": null, "2022年12月": null}}]														
	プロディライト			5580				45.11	21.9	17			技術	ソフトウェア - インフラストラクチャ			https://www.ipokiso.com/company/2023/prodelight.html	https://irbank.net/5580/ir		https://prodelight.co.jp/	自社開発のIP電話用クラウドPBX『INNOVERA』等、音声コミュニケーションのDXに向けたワンストップ・ソリューションの提供					2008年6月（15年目）	プロディライト（5580）、インターネット回線を利用したIP電話システムをワンストップで提供しています。主に、PBX（電話交換機）をクラウドで提供する「システムサービス」、公衆回線網から各端末までIP回線を使用して音声通信を提供する「回線サービス」、IP電話などの端末機器を販売する「端末販売」をおこなっています。直近の業績推移を見ると、右肩上がりで緩やかに成長しています。	6月28日(水)	東証グロース	[{"株主名": "小南    秀光（社長）", "比率": 45.11, "ロックアップ": "90日間", "isCEO": true}, {"株主名": "川田 友也", "比率": 19.33, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "SMBCベンチャーキャピタル1号投資事業有限責任組合", "比率": 11.28, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "日本ビジネスシステムズ（株）", "比率": 6.44, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "SMBCベンチャーキャピタル2号投資事業有限責任組合", "比率": 3.87, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "池田泉州キャピタルニュービジネス4号投資事業有限責任組合", "比率": 3.87, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "奥井 琢磨", "比率": 2.58, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "三菱UFJキャピタル5号投資事業有限責任組合", "比率": 1.07, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "金森 一樹", "比率": 0.77, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "岡田 良平", "比率": 0.53, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2019年8月": 1177.0, "2020年8月": 1321.0, "2021年8月": 1599.0, "2022年8月": 1777.0}}, {"経常利益（百万円）": {"2019年8月": 33.0, "2020年8月": 44.0, "2021年8月": 90.0, "2022年8月": 115.0}}, {"当期純利益（百万円）": {"2019年8月": 35.0, "2020年8月": 39.0, "2021年8月": 63.0, "2022年8月": 82.0}}, {"純資産額 （百万円）": {"2019年8月": 85.0, "2020年8月": 124.0, "2021年8月": 187.0, "2022年8月": 269.0}}, {"1株あたりの純資産額（円）": {"2019年8月": 3014.0, "2020年8月": 4399.0, "2021年8月": 133.0, "2022年8月": 191.0}}, {"1株あたりの純利益（円）": {"2019年8月": 1254.0, "2020年8月": 1385.0, "2021年8月": 45.0, "2022年8月": 58.0}}, {"自己資本比率（％）": {"2019年8月": 11.8, "2020年8月": 14.7, "2021年8月": 21.3, "2022年8月": 31.1}}, {"自己資本利益率（％）": {"2019年8月": 52.5, "2020年8月": 37.4, "2021年8月": 40.5, "2022年8月": 35.9}}]														
	クオリプス			4894					117.9	104.5			ヘルスケア	バイオテクノロジー			https://www.ipokiso.com/company/2023/cuorips.html	https://irbank.net/4894/ir		https://cuorips.co.jp/	再生医療等製品、特定細胞加工物の研究、開発、製造、販売。再生医療等製品、特定細胞加工物にかかわる受託開発製造サービスおよびコンサルティング業務					2017年3月（7年目）	クオリプス（4894）、ヒトiPS細胞由来の再生医療などの製品開発、商業科、および製造開発委託事業を展開しています。直近の業績推移を見ると、大きな赤字を抱えているうえ、売上もまだ立っていません。なお、会社予想では2024年3月期に215百万円の売上が立つ見込みです。それでも、中・大型のバイオベンチャーは統計的に公募割れしやすく、人気化は期待しづらいです。	6月27日(火)	東証グロース	[{"株主名": "第一三共（株）", "比率": 15.75, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "イノベーション京都2016投資事業有限責任組合", "比率": 9.13, "ロックアップ": "90日間\r\n    2倍", "isCEO": false}, {"株主名": "テルモ（株）", "比率": 8.35, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "大幸薬品（株）", "比率": 7.87, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "SBI Ventures    Two（株）", "比率": 7.87, "ロックアップ": "90日間\r\n    2倍", "isCEO": false}, {"株主名": "JICベンチャー・グロース・ファンド1号投資事業有限責任組合", "比率": 7.87, "ロックアップ": "90日間\r\n    2倍", "isCEO": false}, {"株主名": "澤 芳樹", "比率": 7.22, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "ジャフコSV6投資事業有限責任組合", "比率": 6.3, "ロックアップ": "90日間\r\n    2倍", "isCEO": false}, {"株主名": "三菱商事（株）", "比率": 4.3, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "京大ベンチャーNVCC2号投資事業有限責任組合", "比率": 3.4, "ロックアップ": "90日間\r\n    2倍", "isCEO": false}]	[{"売上高（百万円）": {"2019年3月": null, "2020年3月": null, "2021年3月": 0.0, "2022年3月": 14.0}}, {"経常利益（百万円）": {"2019年3月": -144.0, "2020年3月": -177.0, "2021年3月": -296.0, "2022年3月": -373.0}}, {"当期純利益（百万円）": {"2019年3月": -128.0, "2020年3月": -180.0, "2021年3月": -308.0, "2022年3月": -375.0}}, {"純資産額 （百万円）": {"2019年3月": 948.0, "2020年3月": 750.0, "2021年3月": 4222.0, "2022年3月": 3896.0}}, {"1株あたりの純資産額（円）": {"2019年3月": 508.0, "2020年3月": 407.0, "2021年3月": 751.0, "2022年3月": 686.0}}, {"1株あたりの純利益（円）": {"2019年3月": -88.0, "2020年3月": -97.0, "2021年3月": -124.0, "2022年3月": -67.0}}, {"自己資本比率（％）": {"2019年3月": 88.5, "2020年3月": 64.5, "2021年3月": 96.7, "2022年3月": 95.9}}, {"自己資本利益率（％）": {"2019年3月": null, "2020年3月": null, "2021年3月": null, "2022年3月": null}}]														
	エリッツホールディングス			5533				46.06	52.8	58.2			不動産	不動産サービス			https://www.ipokiso.com/company/2023/elitz-holdings.html	https://irbank.net/5533/ir		https://www.elitz-holdings.co.jp/	不動産賃貸事業、不動産ファンド事業、不動産の企画・コンサルティング事業、人材紹介事業、不動産仲介および管理事業ならびにシステム開発・販売事業をおこなうグループ会社の経営管理およびこれに関連する業務					2012年3月（12年目）	エリッツホールディングス（5533）、売上の約50％を不動産仲介事業から、約37％を不動産管理事業から上げています（2022年9月期）。不動産仲介は、賃貸マンション・アパートなどの仲介、一般住宅および投資用マンションの売買仲介をおこなっています。不動産管理は、管理物件の保守管理や入居者管理をおこなっています。	6月27日(火)	東証スタンダード	[{"株主名": "槙野    常美（社長）", "比率": 46.06, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "佐々木 茂喜", "比率": 8.97, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "黒田 富久子", "比率": 8.97, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "エリッツホールディングスグループ従業員持株会", "比率": 7.54, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "龍池 法子", "比率": 6.5, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "平山 浩", "比率": 5.4, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "龍池 亮", "比率": 3.25, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "龍池 美沙", "比率": 3.25, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）ハウズ", "比率": 2.99, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "東 寛昭", "比率": 0.89, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年9月": 1488.0, "2020年9月": 1451.0, "2021年9月": 4566.0, "2022年9月": 4865.0}}, {"経常利益（百万円）": {"2019年9月": 469.0, "2020年9月": 388.0, "2021年9月": 650.0, "2022年9月": 685.0}}, {"当期純利益（百万円）": {"2019年9月": 375.0, "2020年9月": 314.0, "2021年9月": 438.0, "2022年9月": 433.0}}, {"純資産額 （百万円）": {"2019年9月": 2248.0, "2020年9月": 2473.0, "2021年9月": 3197.0, "2022年9月": 3431.0}}, {"1株あたりの純資産額（円）": {"2019年9月": 726.0, "2020年9月": 787.0, "2021年9月": 1017.0, "2022年9月": 1092.0}}, {"1株あたりの純利益（円）": {"2019年9月": 121.0, "2020年9月": 101.0, "2021年9月": 140.0, "2022年9月": 138.0}}, {"自己資本比率（％）": {"2019年9月": 56.2, "2020年9月": 58.4, "2021年9月": 50.2, "2022年9月": 44.0}}, {"自己資本利益率（％）": {"2019年9月": 18.0, "2020年9月": 13.3, "2021年9月": 14.5, "2022年9月": 13.1}}]														
	GSI			5579					26	None					廃止		https://www.ipokiso.com/company/2023/glue-si.html	https://irbank.net/5579/ir		https://glue-si.com/	ソフトウエア・システム開発の常駐支援、運用保守および受託開発					2004年10月（19年目）	GSI[ジーエスアイ]（5579）、ITエンジニアの派遣契約・準委任契約・請負契約に基づくシステム開発・運用保守、および請負契約に基づくシステムの受託開発をおこなっています。直近の業績推移を見ると、売上は右肩上がりで推移していますが、経常利益は頭打ち感があります。なお、2023年3月期も第3四半期時点で経常利益は322百万円となっており、引き続き頭打ち感があります。	6月27日(火)	札証	[{"株主名": "（株）Kam    International", "比率": 91.76, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "小沢 隆徳（社長）", "比率": 2.56, "ロックアップ": "", "isCEO": true}, {"株主名": "泉 直樹", "比率": 2.33, "ロックアップ": "", "isCEO": false}, {"株主名": "桑畑 幸一", "比率": 1.79, "ロックアップ": "", "isCEO": false}, {"株主名": "佐藤 公則", "比率": 0.24, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "矢野 慎平", "比率": 0.24, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "佐々木 龍一郎", "比率": 0.24, "ロックアップ": "", "isCEO": false}, {"株主名": "原田 裕", "比率": 0.24, "ロックアップ": "", "isCEO": false}, {"株主名": "堀口 裕則", "比率": 0.16, "ロックアップ": "", "isCEO": false}, {"株主名": "黒崎 直也", "比率": 0.16, "ロックアップ": "", "isCEO": false}]	[{"売上高（百万円）": {"2019年3月": 1916.0, "2020年3月": 2532.0, "2021年3月": 2997.0, "2022年3月": 3380.0}}, {"経常利益（百万円）": {"2019年3月": 162.0, "2020年3月": 389.0, "2021年3月": 454.0, "2022年3月": 442.0}}, {"当期純利益（百万円）": {"2019年3月": 136.0, "2020年3月": 244.0, "2021年3月": 314.0, "2022年3月": 303.0}}, {"純資産額 （百万円）": {"2019年3月": 589.0, "2020年3月": 812.0, "2021年3月": 1081.0, "2022年3月": 1304.0}}, {"1株あたりの純資産額（円）": {"2019年3月": 69628.0, "2020年3月": 96043.0, "2021年3月": 639.0, "2022年3月": 767.0}}, {"1株あたりの純利益（円）": {"2019年3月": 16072.0, "2020年3月": 28825.0, "2021年3月": 185.0, "2022年3月": 179.0}}, {"自己資本比率（％）": {"2019年3月": 42.4, "2020年3月": 57.1, "2021年3月": 58.4, "2022年3月": 58.5}}, {"自己資本利益率（％）": {"2019年3月": 26.0, "2020年3月": 34.8, "2021年3月": 33.1, "2022年3月": 25.4}}]														
	QLSホールディングス			7075					14.4	31					廃止		https://www.ipokiso.com/company/2023/qlshd.html	https://irbank.net/7075/ir		https://www.qlshd.co.jp/	保育事業、介護福祉事業および人材派遣事業など					2019年2月（5年目）	QLSホールディングス（7075）、大阪市、東京都および横浜市を中心に、認可保育所を33施設、小規模認可保育所を2施設、東京都認証保育所を1施設、企業主導型保育所を3施設、学童保育を1施設運営しています（2023年4月末時点）。	6月26日(月)	名証ネクスト	[]	[{"売上高（百万円）": {"2020年3月": 90.0, "2021年3月": 4469.0, "2022年3月": 5638.0, "2023年3月  第3四半期": 5035.0}}, {"経常利益（百万円）": {"2020年3月": 13.0, "2021年3月": 56.0, "2022年3月": 140.0, "2023年3月  第3四半期": 208.0}}, {"当期純利益（百万円）": {"2020年3月": 9.0, "2021年3月": -164.0, "2022年3月": 13.0, "2023年3月  第3四半期": 139.0}}, {"純資産額 （百万円）": {"2020年3月": 39.0, "2021年3月": 526.0, "2022年3月": 539.0, "2023年3月  第3四半期": 677.0}}, {"1株あたりの純資産額（円）": {"2020年3月": 19.0, "2021年3月": 261.0, "2022年3月": 268.0, "2023年3月  第3四半期": null}}, {"1株あたりの純利益（円）": {"2020年3月": 5.0, "2021年3月": -82.0, "2022年3月": 7.0, "2023年3月  第3四半期": 69.0}}, {"自己資本比率（％）": {"2020年3月": 77.2, "2021年3月": 12.5, "2022年3月": 11.4, "2023年3月  第3四半期": 16.8}}, {"自己資本利益率（％）": {"2020年3月": 26.7, "2021年3月": -27.0, "2022年3月": 2.5, "2023年3月  第3四半期": null}}]														
	ブリッジコンサルティンググループ			9225				31.37	20.5	35.9			産業	専門ビジネスサービス			https://www.ipokiso.com/company/2023/bridge-group.html	https://irbank.net/9225/ir		https://bridge-group.co.jp/	公認会計士人材の経験・知見のデータベース化・最適配分を通じて、経営管理の課題解決を支援するプロシェアリング事業および付帯関連事業					2011年10月（12年目）	ブリッジコンサルティンググループ（9225）、約3,800名の公認会計士などが登録しているワーキングプラットフォーム「会計士.job」を運営しており、IPOを望む企業に最適な会計士を紹介するなど、企業のニーズに合わせて適切な人材を紹介しています。直近の業績推移を見ると、右肩上がりで業績を拡大しており、成長性も十分に感じられます。	6月26日(月)	東証グロース	[{"株主名": "宮崎    良一（社長）", "比率": 31.37, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "ＷＭグロース4号投資事業有責任組合", "比率": 24.55, "ロックアップ": "90日間\r\n    1.5倍", "isCEO": false}, {"株主名": "合同会社GOOD ONE    PARTNERS", "比率": 18.91, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "パーソルテンプスタッフ株式会社", "比率": 3.29, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "田中 智行", "比率": 2.03, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "稲岡 賢", "比率": 2.03, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "伊東 心", "比率": 1.66, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "本田 琢磨", "比率": 1.31, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "豊田 史朗", "比率": 1.11, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "中山 博行", "比率": 1.11, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年9月": 526.0, "2020年9月": 657.0, "2021年9月": 970.0, "2022年9月": 1271.0}}, {"経常利益（百万円）": {"2019年9月": 67.0, "2020年9月": 16.0, "2021年9月": 102.0, "2022年9月": 96.0}}, {"当期純利益（百万円）": {"2019年9月": 57.0, "2020年9月": 11.0, "2021年9月": 66.0, "2022年9月": 65.0}}, {"純資産額 （百万円）": {"2019年9月": 220.0, "2020年9月": 321.0, "2021年9月": 387.0, "2022年9月": 622.0}}, {"1株あたりの純資産額（円）": {"2019年9月": 42559.0, "2020年9月": 24204.0, "2021年9月": 122.0, "2022年9月": 356.0}}, {"1株あたりの純利益（円）": {"2019年9月": 11002.0, "2020年9月": 2095.0, "2021年9月": 41.0, "2022年9月": 38.0}}, {"自己資本比率（％）": {"2019年9月": 69.5, "2020年9月": 56.8, "2021年9月": 55.0, "2022年9月": 71.4}}, {"自己資本利益率（％）": {"2019年9月": 23.4, "2020年9月": 4.0, "2021年9月": 18.8, "2022年9月": 12.8}}]														
